pair,expiry,entry,exit,direction,hold,gross,cost,net
GOLDGUINEA/GOLDPETAL,2026-10-30,2026-05-14,2026-06-05,1,16,96000.0,123564.31599143516,-27564.315991435156
GOLDGUINEA/GOLDPETAL,2026-12-31,2026-07-24,2026-08-17,-1,16,67875.0,45213.055941380466,22661.944058619534
GOLDGUINEA/GOLDPETAL,2027-01-29,2026-08-25,2026-09-16,-1,16,21125.0,37672.103115002,-16547.103115002
GOLDGUINEA/GOLDPETAL,2027-02-26,2026-09-02,2026-09-24,-1,16,-7000.0,84018.5097530631,-91018.5097530631
